rangeMeters,rangeYards,velocityFPS,energyFtLbs,timeSeconds,dropInches,verticalPositionInches,crossWindDriftInches,leadInches,slantDegrees,verticalPositionMil,verticalPositionMoA,verticalPositionIPHY,crossWindDriftMil,crossWindDriftMoA,crossWindDriftIPHY,leadMil,leadMoA,leadIPHY,slantDropInches,slantMil,slantMoA,slantIPHY
0.9144,1,2702.472055736049,1248.3979881336475,0.001128526645768182,-0.0002457994713102952,2.696241781247115,0.003426462873956106,0.05958756112853493,45,74.89560503464209,257.47212435544725,269.62417812471153,0.0951795242765585,0.3272031022286472,0.3426462873956106,1.6552100313481923,5.690192940273937,5.958756112853493,-0.00007199299833471708,-0.001999805509297697,-0.006874824931829402,-0.0071992998334717085
1.8288,2,2699.944111472098,1246.0635295841842,0.0022549741418943616,-0.000981387317458157,2.642973350869068,0.006486987094321252,0.11906534066099257,45,36.70796320651483,126.19268197608379,132.1486675434534,0.09009704297668404,0.3097308185523189,0.3243493547160626,1.65368528695823,5.684951255171038,5.953267033049628,-0.00028744169031301854,-0.003992245698791924,-0.01372432975928847,-0.014372084515650927
2.7432,3,2697.4161672081473,1243.7312557538974,0.0032894569005149817,-0.0020883616531667064,2.5900763069805817,-0.006638650345242115,0.17368727169547166,45,23.982188027597974,82.44468944875162,86.33587689935273,-0.06146898467816772,-0.21131480358213137,-0.2212883448414038,1.6082154786617746,5.528637568530704,5.789575723182389,-0.0006116669666425782,-0.005663583024468317,-0.019469964253561022,-0.02038889888808594
3.6576,4,2694.8882229441965,1241.4011666427868,0.0043239396591356425,-0.0036084156559382887,2.537592342759158,-0.019764287784798308,0.2283092027299529,45,17.622169046938595,60.58055473572115,63.43980856897895,-0.13725199850554382,-0.4718376146491853,-0.4941071946199577,1.5854805745135616,5.450480725210587,5.707730068248822,-0.0010568804762846186,-0.007339447751976518,-0.02523116280886102,-0.026422011907115465
4.572,5,2692.3602786802453,1239.0732622508524,0.005358422417756469,-0.005541549325773211,2.485521458204798,-0.03288992522432527,0.2829311337644429,45,13.80845254558221,47.469963148411395,49.71042916409596,-0.18272180680180705,-0.6281513012888593,-0.6577985044865053,1.5718396320246826,5.403586619218684,5.658622675288858,-0.0016230822192392297,-0.009017123440217944,-0.030998586988573718,-0.03246164438478459
5.4864,6,2689.8328583712437,1236.748024392556,0.006398908720967704,-0.007882111317710733,2.43385800197254,-0.044958914801762125,0.33787005915755997,45,11.267861120243241,38.73605318001342,40.56430003287567,-0.2081431240822321,-0.7155433526792905,-0.7493152466960354,1.5642132368405555,5.377369003801557,5.631167652626,-0.0023086169548902353,-0.010688041457825162,-0.0367427800078855,-0.038476949248170585
6.4008,7,2687.3128139331175,1234.4317466313469,0.007523908720967801,-0.010897271469980152,2.3828691439006144,-0.04215315568957191,0.3972714091575651,45,9.455829936113549,32.50674882817072,34.040987770008776,-0.16727442733957107,-0.5750471224251335,-0.6021879384224559,1.5764738458633534,5.419517872877803,5.675305845108072,-0.003191736917126483,-0.012665622687009853,-0.04354120349252292,-0.04559624167323547
7.3152,8,2684.7927694949917,1232.1176399561548,0.00864890872096765,-0.01439969724724883,2.332367551453688,-0.03934739657742551,0.4566727591575571,45,8.098498442547529,27.840586869250032,29.154594393171102,-0.13662290478272746,-0.4696749497350387,-0.4918424572178189,1.5856693026304065,5.451129524684831,5.708409489469464,-0.004217573676685912,-0.014644353044048304,-0.050343577387728836,-0.0527196709585739
8.2296,9,2682.2727250568655,1229.8057043669787,0.009773908720967749,-0.018389388649518314,2.2823532246317626,-0.03654163746523499,0.5160741091575624,45,7.0443000760239585,24.216519838944038,25.359480273686252,-0.11278283168282405,-0.3877188154200525,-0.4060181940581666,1.5928213245603775,5.475716364979327,5.7341567684173596,-0.005386127233568976,-0.016623849486323998,-0.05714858488998526,-0.0598458581507664
9.144,10,2679.7534510841015,1227.4966457074945,0.010898564769282146,-0.022864902450820818,2.2328247202088702,-0.03379641522553482,0.5754572980958205,45,6.202290889469084,21.321905476875525,22.3282472020887,-0.09387893118204117,-0.3227319925178369,-0.3379641522553482,1.5984924947106125,5.495212411849992,5.754572980958205,-0.006696974876676494,-0.01860270799076804,-0.06395139932352092,-0.06696974876676494
