rangeMeters,rangeYards,velocityFPS,energyFtLbs,timeSeconds,dropInches,verticalPositionInches,crossWindDriftInches,leadInches,slantDegrees,verticalPositionMil,verticalPositionMoA,verticalPositionIPHY,crossWindDriftMil,crossWindDriftMoA,crossWindDriftIPHY,leadMil,leadMoA,leadIPHY,slantDropInches,slantMil,slantMoA,slantIPHY
0.9144,1,2898.3006028046198,3543.0751691619043,0.0009771986970683278,-0.00018429903765554325,1.9495103760674788,-0.010082404345829268,0.051597263843644194,45,54.153066001874414,186.16452777722034,194.9510376067479,-0.2800667873841463,-0.9627986939400272,-1.0082404345829268,1.4332573289901165,4.927175754470663,5.159726384364419,-0.00005397993836315364,-0.0014994427323098232,-0.0051547044110075175,-0.0053979938363153636
1.8288,2,2896.601205609239,3538.9214752433277,0.001954397394136911,-0.0007371961506223657,1.899389350210269,-0.020164808691613578,0.10319452768730188,45,26.380407641809292,90.6891611831916,94.96946751051345,-0.28006678738352186,-0.9627986939378805,-1.0082404345806788,1.4332573289903037,4.927175754471307,5.159726384365094,-0.00021591975345267099,-0.0029988854646204304,-0.01030940882201773,-0.01079598767263355
2.7432,3,2894.901808413859,3534.7702175267896,0.002931596091205239,-0.0016586913389001782,1.84963692242837,-0.030247213037442808,0.15479179153094608,45,17.126267800262685,58.87577182632207,61.65456408094567,-0.2800667873837297,-0.962798693938595,-1.0082404345814269,1.4332573289902415,4.927175754471093,5.159726384364869,-0.00048581944526846735,-0.004498328196930254,-0.015464113233025246,-0.01619398150894891
3.6576,4,2893.2024112184786,3530.621396012288,0.003908794788273567,-0.0029487846024890785,1.8002530927217821,-0.04032961738327204,0.2063890553745903,45,12.50175758834571,42.97787677874235,45.006327318044555,-0.2800667873838336,-0.9627986939389521,-1.008240434581801,1.4332573289902102,4.927175754470985,5.159726384364757,-0.0008636790138105714,-0.005997770929240079,-0.020618817644032773,-0.021591975345264285
4.572,5,2891.503014023098,3526.475010699823,0.00488599348534215,-0.004607475941389545,1.751237861090506,-0.05041202172905632,0.25798631921824794,45,9.729099228280589,33.44617945487856,35.02475722181012,-0.28006678738364615,-0.9627986939383077,-1.0082404345811262,1.4332573289902661,4.927175754471178,5.159726384364959,-0.0013494984590791232,-0.007497213661550683,-0.02577352205504298,-0.026989969181582463
5.4864,6,2889.80425443542,3522.3326159273106,0.005874081432846391,-0.006659432707184168,1.7026158948861239,-0.05857787444116312,0.31015854855200886,45,7.8824809948431644,27.097973585966475,28.376931581435397,-0.27119386315353294,-0.9322958273186245,-0.9762979073527186,1.4359192062593003,4.936326614457083,5.169309142533481,-0.0019505026810787507,-0.009030105004994215,-0.031043214320963367,-0.03250837801797918
6.4008,7,2888.110374763401,3518.2045446362827,0.00694551000427495,-0.0093103410793603,1.6545928802881233,-0.05207544398009428,0.3667312628377225,45,6.565844763048108,22.571711631786048,23.63704114697319,-0.20664858722259635,-0.7104055134162264,-0.7439349140013469,1.455282789038581,5.002893708627803,5.239018040538893,-0.002726935766984946,-0.010821173678511691,-0.03720045486964092,-0.038956225242642084
7.3152,8,2886.4164950913823,3514.0788937534803,0.00801693857570351,-0.012404361696434385,1.6070129779350206,-0.045573013519025284,0.4233039771234362,45,5.5799061733854876,19.182304428959764,20.087662224187756,-0.15823963027439333,-0.5439877779894258,-0.569662668987816,1.4698054761230424,5.0528190292558435,5.291299714042952,-0.0036331534245949574,-0.01261511605762138,-0.04336757449043837,-0.04541441780743697
8.2296,9,2884.7226154193636,3509.955663278902,0.00908836714713207,-0.015900195349705885,1.5598348886181155,-0.03907058305795629,0.4798766914091499,45,4.814305211784307,16.550362195488876,17.331498762423504,-0.12058821931467992,-0.4145517615463587,-0.4341175895328477,1.4811008994109565,5.091649834188764,5.331963237879443,-0.004657059395738036,-0.014373640110302578,-0.049412934873928886,-0.051745104397089285
9.144,10,2883.028735747345,3505.8348532125488,0.01015979571856063,-0.01987012894075496,1.5131308992389878,-0.03256815259688699,0.5364494056948635,45,4.203141386774966,14.449335729629208,15.13130899238988,-0.0904670905469083,-0.3110029483919021,-0.32568152596886984,1.4901372380412874,5.1227144781351,5.364494056948635,-0.005819826023696045,-0.01616618339915568,-0.05557524477671468,-0.05819826023696045
10.0584,11,2881.334856075326,3501.7164635544195,0.011231224289989189,-0.024282026817518308,1.4668688741455744,-0.0260657221358183,0.5930221199805772,45,3.70421432865044,12.734150846693582,13.335171583141586,-0.0658225306460058,-0.2262811921746248,-0.2369611103256209,1.4975306060115585,5.148131005000284,5.391110181641611,-0.0071120409938974965,-0.01795969947953913,-0.06174089889044259,-0.06465491812634087
10.9728,12,2879.6409764033074,3497.6004943045145,0.012302652861417749,-0.029135888979995937,1.4210488133378754,-0.019563291674749305,0.6495948342662908,45,3.2894648456895266,11.308347150950995,11.842073444482295,-0.04528539739525302,-0.15567972866022461,-0.1630274306229109,1.5036917459867842,5.169311444054603,5.413290285552423,-0.00853370430634239,-0.019753945153570346,-0.06790906116237712,-0.07111420255285325
